CÓDIGO_UPE,PROGRAMA_DONO,NUMERO_AGENCIA,NOME_AGENCIA,REGIAO,UF,CIDADE,CONSTRUTORA,GRUPO,ID,NOME,UNIDADE,TIPO,GRUPO,COMENTÁRIO,QUANTIDADE,PRECO PAGO,VALOR TOTAL PAGO,PRECO LPU,VALOR TOTAL LPU,DIFERENÇA TOTAL,DISCREPÂNCIA PERCENTUAL,STATUS CONCILIAÇÃO,SOURCE_FILE,SHEET_NAME_orc
,,605,STA CRUZ DO SUL RS,,,,,,,RETIRADA DE FORRO MANUAL C/TRANSP.,UN,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,11.04,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,RETIRADA DE CAIXILHOS METALICOS C/TRANSP.,PT,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,6.93,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,MASSA UNICA,UN,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,42.57,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,INDICE ELETRICO - PONTO DE LUZ,M,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,57.34,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,RETIRADA DE PAINEL DO AA C/TRANSP.,M2,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,49.31,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,RETIRADA DE CAIXILHOS METALICOS C/TRANSP.,PT,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,33.69,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,CHAPISCO INTERNO,UN,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,55.79,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,RETIRADA DE FORRO MANUAL C/TRANSP.,M2,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,38.72,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,RETIRADA DE CAIXILHOS METALICOS C/TRANSP.,UN,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,5.08,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,RETIRADA DE FORRO MANUAL C/TRANSP.,UN,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,55.84,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,CONTRA-PISO 2CM,UN,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,48.16,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,INDICE ELETRICO - PONTO DE LUZ,M,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,30.32,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,CIMENTO DESMPENADO E=2CM,UN,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,27.33,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,VIDRO TEMPERADO 10MM C/MOLA,UN,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,12.63,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,RETIRADA DE FORRO MANUAL C/TRANSP.,UN,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,45.73,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,MASSA UNICA,PT,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,6.77,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,VIDRO TEMPERADO 10MM C/MOLA,M2,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,24.64,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,CIMENTO DESMPENADO E=2CM,M2,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,55.67,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,INSTALACAO DE FAIXA PODOTATIL L=25CM COLADA,PT,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,27.15,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,CIMENTO DESMPENADO E=2CM,M,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,20.86,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,RETIRADA DE PAINEL DO AA C/TRANSP.,PT,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,15.33,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,RETIRADA DE PAINEL DO AA C/TRANSP.,PT,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,7.630000000000001,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,PINTURA LATEX ACRILICO,M2,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,42.63,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,MASSA UNICA,M,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,1.86,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
,,605,STA CRUZ DO SUL RS,,,,,,,CONTRA-PISO 2CM,M2,PEQUENAS INTERVENÇÕES DE BOMBEIROS - OBRAS,,,38.34,,,,,,,Sem base LPU,SAMPLE_PADRAO1 - AG 0605 - 103481.XLSX,01
188292,,3149,MARINA MG,SUDESTE,SP,CAMPINAS,,,,CONTRA-PISO 2CM,M2,C030 - PEQUENAS INTERVENÇÕES,,,44.75,154.49,6913.427500000001,,,,,Sem base LPU,SAMPLE_PADRAO1.XLSX,01
188292,,3149,MARINA MG,SUDESTE,SP,CAMPINAS,,,,CONTRA-PISO 2CM,M2,C030 - PEQUENAS INTERVENÇÕES,,,35.84,28.75,1030.4,,,,,Sem base LPU,SAMPLE_PADRAO1.XLSX,01
188292,,3149,MARINA MG,SUDESTE,SP,CAMPINAS,,,,PISO VINILICO ROLO P/A (INCLUSO ARREMATE),M2,C030 - PEQUENAS INTERVENÇÕES,,,34.11,432.45,14750.869499999999,,,,,Sem base LPU,SAMPLE_PADRAO1.XLSX,01
188292,,3149,MARINA MG,SUDESTE,SP,CAMPINAS,,,,"FORRO GESSO ACARTONADO (INCLUI FURACAO, TABICA, PERFIS)",M,C030 - PEQUENAS INTERVENÇÕES,,,27.5,174.13,4788.575,,,,,Sem base LPU,SAMPLE_PADRAO1.XLSX,01
188292,,3149,MARINA MG,SUDESTE,SP,CAMPINAS,,,,RETIRADA DE PAINEL DO AA C/TRANSP.,M,C030 - PEQUENAS INTERVENÇÕES,,,42.19,210.75,8891.5425,,,,,Sem base LPU,SAMPLE_PADRAO1.XLSX,01
188292,,3149,MARINA MG,SUDESTE,SP,CAMPINAS,,,,RETIRADA DE PAINEL DO AA C/TRANSP.,UN,C030 - PEQUENAS INTERVENÇÕES,,,7.03,234.16,1646.1448,,,,,Sem base LPU,SAMPLE_PADRAO1.XLSX,01
188292,,3149,MARINA MG,SUDESTE,SP,CAMPINAS,,,,INDICE ELETRICO - PONTO DE LUZ,UN,C030 - PEQUENAS INTERVENÇÕES,,,48.62,440.54,21419.054799999998,,,,,Sem base LPU,SAMPLE_PADRAO1.XLSX,01
